domain,label,source
exodusupdate.app,Phishing,Fresh-Feed
com-trackadaps.top,Phishing,Fresh-Feed
accountin.byethost17.com,Phishing,Fresh-Feed
texas-hx.cc,Phishing,Fresh-Feed
2share4u.ml,Phishing,Fresh-Feed
rohiiittt09.github.io,Phishing,Fresh-Feed
3kou.co.jp,Phishing,Fresh-Feed
aszzmailer.weeblysite.com,Phishing,Fresh-Feed
riven3.online,Phishing,Fresh-Feed
puroletor.com-payrmj.vip,Phishing,Fresh-Feed
nmcchittor.com,Phishing,Fresh-Feed
365aa55.com,Phishing,Fresh-Feed
com-tracking-helpsai.cc,Phishing,Fresh-Feed
lolutope.ga,Phishing,Fresh-Feed
franceparty.top,Phishing,Fresh-Feed
7sfyruk53k538gfmank85ffg7sfyruk53k538gfmank85.weeblysite.com,Phishing,Fresh-Feed
com-pmzf.xin,Phishing,Fresh-Feed
jvenysa.duckdns.org,Phishing,Fresh-Feed
paymhbl.vip,Phishing,Fresh-Feed
nasmocopurwodadi.com,Phishing,Fresh-Feed
3matik.ru,Phishing,Fresh-Feed
supportstudent.link,Phishing,Fresh-Feed
tincafrica.com,Phishing,Fresh-Feed
0ab690c7908331075bc94c509b8ec009-dot-gle9392420309493993.rj.r.appspot.com,Phishing,Fresh-Feed
aracika.id,Phishing,Fresh-Feed
com-qd73.xin,Phishing,Fresh-Feed
com-trackwue.top,Phishing,Fresh-Feed
cvetolenta.ru,Phishing,Fresh-Feed
siyaghasourccing.com,Phishing,Fresh-Feed
0e052ff0-e4ff-439b-b15b-e006ffd91906.htmlcomponentservice.com,Phishing,Fresh-Feed
account.midtrans.com.sg.misteri.us.kg,Phishing,Fresh-Feed
pagosnominalia.wpenginepowered.com,Phishing,Fresh-Feed
1hot7mail8ser6vi5ce.000webhostapp.com,Phishing,Fresh-Feed
312ab55f967d1dbf271ca0ebdce176cf-dot-gle9392420309493993.rj.r.appspot.com,Phishing,Fresh-Feed
correduriauno.com,Phishing,Fresh-Feed
4-three.vercel.app,Phishing,Fresh-Feed
5a54f8ca.bmed12.shop,Phishing,Fresh-Feed
allegro.893874893469163429.bond,Phishing,Fresh-Feed
192.185.237.27,Phishing,Fresh-Feed
18.204.21.116,Phishing,Fresh-Feed
dk-post-posstnord.icu,Phishing,Fresh-Feed
www.jb.com.vn,Phishing,Fresh-Feed
parkingmasterbd.com,Phishing,Fresh-Feed
2s2pm-kyaaa-aaaad-qeyyq-cai.raw.ic0.app,Phishing,Fresh-Feed
cjscf.de,Phishing,Fresh-Feed
107.6.242.135,Phishing,Fresh-Feed
importsan.rockapp.in.net,Phishing,Fresh-Feed
authfile.us-east-1.linodeobjects.com,Phishing,Fresh-Feed
5328c826.satgrjtxcvdv.org.cn,Phishing,Fresh-Feed
com-tracking-helpqs.cc,Phishing,Fresh-Feed
www.allegrolokalnie.pl-490910579.sbs,Phishing,Fresh-Feed
acrt.blob.core.windows.net,Phishing,Fresh-Feed
luppie.eu,Phishing,Fresh-Feed
18343200456.com,Phishing,Fresh-Feed
37027cadfb2659285.temporary.link,Phishing,Fresh-Feed
365gge.com,Phishing,Fresh-Feed
portalunimedcrs.com.br,Phishing,Fresh-Feed
3659fff.net,Phishing,Fresh-Feed
accban-96853048.kahulasup.ch,Phishing,Fresh-Feed
globalwebpay.co,Phishing,Fresh-Feed
rrrrload02.top,Phishing,Fresh-Feed
accountupdate22.square.site,Phishing,Fresh-Feed
18.219.21.126,Phishing,Fresh-Feed
gmailadvert15dx.club,Phishing,Fresh-Feed
dantsechs.net,Phishing,Fresh-Feed
058abbb5.sibforms.com,Phishing,Fresh-Feed
