domain,label,source,domain_age_days
airtel-merchants.in,Phishing,training_set,440
airtelrecharge.co.in,Phishing,training_set,441
airtelmerchant.in,Phishing,training_set,407
airtelinternetserviceprovider.co.in,Phishing,training_set,399
airtelpoint.top,Phishing,training_set,-1
airtela.sbs,Phishing,training_set,354
airtelairfiberkarnataka.xyz,Phishing,training_set,270
airtelbroadbandbangalore.xyz,Phishing,training_set,270
airteldthconnectionbengaluru.xyz,Phishing,training_set,270
airtelwificonnectiontumakuru.xyz,Phishing,training_set,270
airtel365.com,Suspected,training_set,446
airtel-merchants.site,Suspected,training_set,437
airtelmerchnat.in,Suspected,training_set,430
airtel.club,Suspected,training_set,-1
airtel121co.in,Suspected,training_set,398
airtelfin.in,Suspected,training_set,-1
airtelmerchants.in,Suspected,training_set,399
airtelwifi.in,Suspected,training_set,-1
airtel-5g.top,Suspected,training_set,389
airtele.xyz,Suspected,training_set,383
airtelericsson.in,Suspected,training_set,377
airtelrechargeplan.com,Suspected,training_set,369
airtelspacex.in,Suspected,training_set,363
airtel.cloud,Suspected,training_set,-1
airtelrdc.shop,Suspected,training_set,-1
airtelhd.biz,Suspected,training_set,332
airtelmerchnats.net,Suspected,training_set,335
airteldataloan.in,Suspected,training_set,322
airtel-merchants.shop,Suspected,training_set,-1
airtelpay.world,Phishing,training_set,-1
airtel-quickrecharge.world,Phishing,training_set,-1
airtelstream.in,Suspected,training_set,-1
bhartiairtelnet.in,Suspected,training_set,561
airtel121.in,Suspected,training_set,58
airtel-merchant.co.in,Suspected,training_set,-1
airtel-5g.net,Suspected,training_set,-1
airtel-ug.info,Suspected,training_set,-1
airteliqalerts.in,Suspected,training_set,-1
airteliqmail.in,Suspected,training_set,-1
airtelinfotel.in,Suspected,training_set,-1
airtelretailer.in,Suspected,training_set,-1
airtel.org.in,Suspected,training_set,15
bhartiairtel.live,Suspected,training_set,-1
bhartiairtel.online,Suspected,training_set,-1
airtelconnect.com,Suspected,training_set,-1
airtelstore.co.in,Suspected,training_set,-1
airteldtd.in,Suspected,training_set,-1
airtel.website,Suspected,training_set,-1
airtelprize.in,Suspected,training_set,-1
airtelapp.xyz,Suspected,training_set,-1
airtelcare.net,Suspected,training_set,-1
airtel-merchants.net,Suspected,training_set,-1
postpaidairtel.in,Suspected,training_set,412
airtel.exchange,Suspected,training_set,-1
airtelpayment.online,Suspected,training_set,-1
airtel-5gg.top,Suspected,training_set,-1
airtelmerchnat.co.in,Suspected,training_set,373
airtel-ericsson.com,Suspected,training_set,377
