domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https
airtel-merchants.in,Phishing,training_set,19.0,0.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,99.0,0.0,0.0,0.0,0.0,2.0,3.6163485660751635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrecharge.co.in,Phishing,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.4464393446710155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchant.in,Phishing,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelinternetserviceprovider.co.in,Phishing,training_set,35.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.5224592753013226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpoint.top,Phishing,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,3.189898095464287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtela.sbs,Phishing,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.16666666666666666,0.0,0.0,0.0,0.0,3.0,3.095795255000934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelairfiberkarnataka.xyz,Phishing,training_set,27.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,3.0,3.48582592784901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelbroadbandbangalore.xyz,Phishing,training_set,28.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,0.0,3.0,3.695947226387471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldthconnectionbengaluru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.0,3.0,4.015319531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelwificonnectiontumakuru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.0,3.0,3.9917292966721747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel365.com,Suspected,training_set,13.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,0.5,0.0,0.0,0.0,1.0,3.0,3.7004397181410926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.site,Suspected,training_set,21.0,0.0,0.047619047619047616,1.0,0.047619047619047616,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,0.5,0.0,0.0,0.0,0.0,4.0,3.5585186130489057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnat.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.club,Suspected,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,4.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel121co.in,Suspected,training_set,14.0,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.0,2.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelfin.in,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,3.0220552088742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchants.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.0,2.0,3.503258334775645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelwifi.in,Suspected,training_set,13.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,99.0,0.0,0.0,0.0,0.0,2.0,3.085055102756477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5g.top,Suspected,training_set,13.0,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.46153846153846156,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,3.5465935642949384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtele.xyz,Suspected,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.16666666666666666,0.0,0.0,0.0,0.0,3.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelericsson.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrechargeplan.com,Suspected,training_set,22.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.2727272727272727,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.6292196865240967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
