domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,consonant_ratio,vowel_ratio,longest_consonant_run,is_punycode,subdomain_depth,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https,domain_age_days,has_ssl,is_lets_encrypt,cert_domain_matches,has_mx,has_spf,cert_age_days,cert_days_remaining,a_record_count,ttl_value
airtel-merchants.in,Phishing,training_set,19.0,0.0,0.0526315789473684,1.0,0.0526315789473684,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,99.0,0.0,0.0,0.0,0.5789473684210527,0.3157894736842105,3.0,0.0,0.0,0.0,2.0,3.616348566075164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,0,0,0,0,0,-1,-1,0,-1
airtelrecharge.co.in,Phishing,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5,0.4,2.0,0.0,1.0,0.0,2.0,3.446439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441,0,0,0,0,0,-1,-1,0,-1
airtelmerchant.in,Phishing,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.5882352941176471,0.3529411764705882,3.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407,0,0,0,0,0,-1,-1,0,-1
airtelinternetserviceprovider.co.in,Phishing,training_set,35.0,0.0,0.0571428571428571,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5428571428571428,0.4,2.0,0.0,1.0,0.0,2.0,3.522459275301322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,0,0,0,0,0,-1,-1,0,-1
airtelpoint.top,Phishing,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.5333333333333333,0.4,2.0,0.0,0.0,0.0,3.0,3.189898095464288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtela.sbs,Phishing,training_set,11.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.1666666666666666,0.0,0.0,0.0,0.5454545454545454,0.3636363636363636,3.0,0.0,0.0,0.0,3.0,3.095795255000934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354,0,0,0,0,0,-1,-1,0,-1
airtelairfiberkarnataka.xyz,Phishing,training_set,27.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.5555555555555556,0.4074074074074074,3.0,0.0,0.0,0.0,3.0,3.48582592784901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,1,0,0,0,0,-1,-1,2,846
airtelbroadbandbangalore.xyz,Phishing,training_set,28.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,1.0,0.2142857142857142,1.0,0.0,0.0,0.0,0.6071428571428571,0.3571428571428571,3.0,0.0,0.0,0.0,3.0,3.695947226387471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,0,0,0,0,0,-1,-1,1,533
airteldthconnectionbengaluru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.625,0.34375,5.0,0.0,0.0,0.0,3.0,4.015319531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,0,0,0,0,0,-1,-1,1,514
airtelwificonnectiontumakuru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.5625,0.40625,3.0,0.0,0.0,0.0,3.0,3.991729296672175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,0,0,0,0,0,-1,-1,1,540
airtel365.com,Suspected,training_set,13.0,0.2307692307692307,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.4615384615384615,0.5,0.0,0.0,0.0,0.3846153846153846,0.3076923076923077,2.0,0.0,0.0,1.0,3.0,3.7004397181410926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446,1,0,0,0,0,-1,-1,2,3547
airtel-merchants.site,Suspected,training_set,21.0,0.0,0.0476190476190476,1.0,0.0476190476190476,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,0.5,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,3.0,0.0,0.0,0.0,4.0,3.5585186130489057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,0,0,0,0,0,-1,-1,0,-1
airtelmerchnat.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.5882352941176471,0.3529411764705882,4.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,0,0,0,0,0,-1,-1,0,-1
airtel.club,Suspected,training_set,11.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.5454545454545454,0.3636363636363636,2.0,0.0,0.0,0.0,4.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel121co.in,Suspected,training_set,14.0,0.2142857142857142,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.4285714285714285,99.0,0.0,0.0,0.0,0.3571428571428571,0.3571428571428571,2.0,0.0,0.0,0.0,2.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398,0,0,0,0,0,-1,-1,0,-1
airtelfin.in,Suspected,training_set,12.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.4166666666666667,2.0,0.0,0.0,0.0,2.0,3.0220552088742005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelmerchants.in,Suspected,training_set,18.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,3.0,0.0,0.0,0.0,2.0,3.5032583347756456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,0,0,0,0,0,-1,-1,2,542
airtelwifi.in,Suspected,training_set,13.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.4615384615384615,99.0,0.0,0.0,0.0,0.4615384615384615,0.4615384615384615,2.0,0.0,0.0,0.0,2.0,3.085055102756477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel-5g.top,Suspected,training_set,13.0,0.0769230769230769,0.0769230769230769,1.0,0.0769230769230769,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.4615384615384615,0.6666666666666666,0.0,0.0,0.0,0.4615384615384615,0.3076923076923077,2.0,0.0,0.0,0.0,3.0,3.5465935642949384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389,0,0,0,0,0,-1,-1,0,-1
airtele.xyz,Suspected,training_set,11.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.1666666666666666,0.0,0.0,0.0,0.5454545454545454,0.3636363636363636,3.0,0.0,0.0,0.0,3.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,0,0,0,0,1,-1,-1,1,249
airtelericsson.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,0,0,0,0,0,-1,-1,2,557
airtelrechargeplan.com,Suspected,training_set,22.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.2727272727272727,0.6666666666666666,0.0,0.0,0.0,0.5909090909090909,0.3636363636363636,2.0,0.0,0.0,1.0,3.0,3.629219686524096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,1,0,0,1,1,-1,-1,1,1768
airtelspacex.in,Suspected,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,3.0,0.0,0.0,0.0,2.0,3.5068905956085183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,0,0,0,0,0,-1,-1,2,566
airtel.cloud,Suspected,training_set,12.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,99.0,0.0,0.0,0.0,0.5,0.4166666666666667,2.0,0.0,0.0,0.0,5.0,3.4182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,1,-1,-1,2,3596
airtelrdc.shop,Suspected,training_set,14.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.4285714285714285,0.5,0.0,0.0,0.0,0.6428571428571429,0.2857142857142857,4.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,0,0,-1,-1,1,288
airtelhd.biz,Suspected,training_set,12.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,3.0,0.0,0.0,0.0,3.0,3.4182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,0,0,0,1,1,-1,-1,1,3596
airtelmerchnats.net,Suspected,training_set,19.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,0.631578947368421,0.3157894736842105,4.0,0.0,0.0,1.0,3.0,3.43162356584743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,1,0,0,0,0,-1,-1,2,599
airteldataloan.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.4705882352941176,0.4705882352941176,2.0,0.0,0.0,0.0,2.0,3.1462863706621045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,0,0,0,0,0,-1,-1,0,-1
airtel-merchants.shop,Suspected,training_set,21.0,0.0,0.0476190476190476,1.0,0.0476190476190476,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.6190476190476191,0.2857142857142857,3.0,0.0,0.0,0.0,4.0,3.820888851350188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,0,0,-1,-1,2,596
airtelpay.world,Phishing,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.6,0.3333333333333333,3.0,0.0,0.0,0.0,5.0,3.5068905956085183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel-quickrecharge.world,Phishing,training_set,26.0,0.0,0.0384615384615384,1.0,0.0384615384615384,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.2307692307692307,0.75,0.0,0.0,0.0,0.5769230769230769,0.3461538461538461,3.0,0.0,0.0,0.0,5.0,3.902174814211727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelstream.in,Suspected,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,4.0,0.0,0.0,0.0,2.0,3.240223928941852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
bhartiairtelnet.in,Suspected,training_set,18.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,2.0,0.0,0.0,0.0,2.0,3.197159723424149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561,0,0,0,1,1,-1,-1,1,14396
airtel121.in,Suspected,training_set,12.0,0.25,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.0,0.0,0.0,2.0,3.2516291673878226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,0,0,0,-1,-1,0,-1
airtel-merchant.co.in,Suspected,training_set,21.0,0.0,0.0952380952380952,1.0,0.0476190476190476,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5238095238095238,0.3333333333333333,3.0,0.0,1.0,0.0,2.0,3.630412660873998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel-5g.net,Suspected,training_set,13.0,0.0769230769230769,0.0769230769230769,1.0,0.0769230769230769,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.4615384615384615,0.6666666666666666,0.0,0.0,0.0,0.4615384615384615,0.3076923076923077,2.0,0.0,0.0,1.0,3.0,3.3927474104487847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel-ug.info,Suspected,training_set,14.0,0.0,0.0714285714285714,1.0,0.0714285714285714,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.4285714285714285,0.75,0.0,0.0,0.0,0.4285714285714285,0.4285714285714285,2.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airteliqalerts.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.219528282299548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airteliqmail.in,Suspected,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,2.0,0.0,0.0,0.0,2.0,3.106890595608519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelinfotel.in,Suspected,training_set,16.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.375,99.0,0.0,0.0,0.0,0.5,0.4375,2.0,0.0,0.0,0.0,2.0,3.202819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelretailer.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.4705882352941176,0.4705882352941176,2.0,0.0,0.0,0.0,2.0,2.8954238702803154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel.org.in,Suspected,training_set,13.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.4615384615384615,0.3846153846153846,2.0,0.0,1.0,0.0,2.0,3.238901256602631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,-1,-1,0,-1
bhartiairtel.live,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.3529411764705882,1.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,2.0,0.0,0.0,0.0,4.0,3.219528282299548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
bhartiairtel.online,Suspected,training_set,19.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,1.0,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,0.5263157894736842,0.4210526315789473,2.0,0.0,0.0,0.0,6.0,3.366091329119192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelconnect.com,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,0.6666666666666666,0.0,0.0,0.0,0.5882352941176471,0.3529411764705882,2.0,0.0,0.0,1.0,3.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,1,49
airtelstore.co.in,Suspected,training_set,17.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.4705882352941176,0.4117647058823529,3.0,0.0,1.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airteldtd.in,Suspected,training_set,12.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,4.0,0.0,0.0,0.0,2.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel.website,Suspected,training_set,14.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.4285714285714285,99.0,0.0,0.0,0.0,0.5,0.4285714285714285,2.0,0.0,0.0,0.0,7.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelprize.in,Suspected,training_set,14.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.4285714285714285,99.0,0.0,0.0,0.0,0.5,0.4285714285714285,3.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelapp.xyz,Suspected,training_set,13.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.4615384615384615,0.5,0.0,0.0,0.0,0.6153846153846154,0.3076923076923077,3.0,0.0,0.0,0.0,3.0,3.3927474104487847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelcare.net,Suspected,training_set,14.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.4285714285714285,0.6666666666666666,0.0,0.0,0.0,0.5,0.4285714285714285,2.0,0.0,0.0,1.0,3.0,3.039148671903071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
