domain,label
niclogin.co,Phishing
icici-banking.xyz,Phishing
hdfc-verify.net,Phishing
hdfclogin.net,Phishing
uidaiupdate.xyz,Phishing
bob-banking.net,Phishing
nic-secure.info,Phishing
irctcverify.xyz,Phishing
airtel-support.info,Phishing
irctcsecure.info,Phishing
sbiverify.org,Phishing
bobsecure.xyz,Phishing
sbi-help.net,Phishing
bobverify.org,Phishing
iocl-help.top,Phishing
hdfc-verify.xyz,Phishing
ioclupdate.info,Phishing
iocllogin.info,Phishing
pnb-support.org,Phishing
uidai-help.info,Phishing
nic-banking.net,Phishing
irctc-banking.top,Phishing
nic-support.in,Phishing
iciciupdate.org,Phishing
bobverify.in,Phishing
sbiupdate.top,Phishing
bob-support.xyz,Phishing
iciciupdate.top,Phishing
bobupdate.co,Phishing
irctc-online.in,Phishing
hdfc-secure.xyz,Phishing
uidai-verify.info,Phishing
pnbupdate.net,Phishing
irctc-verify.info,Phishing
irctcupdate.xyz,Phishing
sbiverify.net,Phishing
nicsecure.in,Phishing
sbiupdate.co,Phishing
uidai-online.info,Phishing
hdfc-login.net,Phishing
niclogin.info,Phishing
uidai-login.xyz,Phishing
iocl-support.info,Phishing
pnb-secure.in,Phishing
nic-online.info,Phishing
hdfc-verify.in,Phishing
iocl-support.net,Phishing
hdfc-help.info,Phishing
icici-secure.co,Phishing
pnbupdate.xyz,Phishing
nicsecure.xyz,Phishing
uidaiverify.co,Phishing
uidai-support.org,Phishing
uidai-login.top,Phishing
irctc-secure.org,Phishing
iciciupdate.in,Phishing
ioclsecure.co,Phishing
uidailogin.xyz,Phishing
sbi-online.in,Phishing
hdfc-banking.org,Phishing
sbi-login.info,Phishing
bobsecure.info,Phishing
icici-help.top,Phishing
bob-secure.in,Phishing
uidai-verify.xyz,Phishing
hdfclogin.org,Phishing
airtel-login.in,Phishing
iocl-online.in,Phishing
hdfc-online.co,Phishing
iocl-secure.top,Phishing
airtelupdate.info,Phishing
bob-login.xyz,Phishing
irctc-login.org,Phishing
irctclogin.co,Phishing
pnbsecure.org,Phishing
ioclverify.net,Phishing
pnb-online.info,Phishing
ioclverify.co,Phishing
icici-login.top,Phishing
sbi-secure.info,Phishing
pnb-secure.xyz,Phishing
iocl-banking.org,Phishing
irctcupdate.in,Phishing
hdfc-help.co,Phishing
sbi-support.xyz,Phishing
uidaiverify.xyz,Phishing
icici-login.co,Phishing
pnb-banking.org,Phishing
boblogin.top,Phishing
icici-support.top,Phishing
uidai-login.co,Phishing
hdfc-update.info,Phishing
sbiupdate.org,Phishing
hdfc.secure--update.net,Phishing
iocl.service--banking.top,Phishing
sbi.secure-secure.xyz,Phishing
irctc.service--online.in,Phishing
nic.service--login.co,Phishing
bob.service--login.co,Phishing
uidai.check--verify.org,Phishing
irctc.portal--support.co,Phishing
uidai.portal--support.in,Phishing
bob.secure--secure.org,Phishing
sbi.service--banking.info,Phishing
bob.service--update.co,Phishing
bob.check--support.top,Phishing
irctc.secure-secure.in,Phishing
pnb.secure-verify.net,Phishing
airtel.secure--help.in,Phishing
irctc.service-login.net,Phishing
airtel.secure-verify.net,Phishing
bob.secure--secure.xyz,Phishing
bob.service--online.org,Phishing
pnb.check--update.xyz,Phishing
uidai.secure--help.org,Phishing
pnb.portal-update.top,Phishing
hdfc.secure-update.net,Phishing
sbi.service-verify.xyz,Phishing
iocl.portal--online.xyz,Phishing
bob.secure-secure.net,Phishing
icici.secure-verify.info,Phishing
irctc.portal--update.xyz,Phishing
sbi.secure--update.xyz,Phishing
icici.service--update.org,Phishing
icici.secure-verify.co,Phishing
irctc.service--support.top,Phishing
icici.check--secure.net,Phishing
sbi.secure--verify.info,Phishing
irctc.check--help.net,Phishing
irctc.secure--secure.in,Phishing
hdfc.portal-update.co,Phishing
pnb.secure--update.net,Phishing
irctc.portal-verify.top,Phishing
icici.service--secure.top,Phishing
nic.portal--help.xyz,Phishing
icici.check--online.co,Phishing
hdfc.service--banking.net,Phishing
hdfc.secure-secure.info,Phishing
pnb.portal--update.info,Phishing
icici.secure--support.top,Phishing
sbi.check--banking.net,Phishing
hdfc.check--online.xyz,Phishing
sbi.service-login.net,Phishing
iocl.check--update.co,Phishing
hdfc.check--update.info,Phishing
icici.portal--help.info,Phishing
pnb.check--login.co,Phishing
pnb.portal--banking.top,Phishing
bob.check--help.info,Phishing
uidai.secure-secure.co,Phishing
hdfc.check--login.in,Phishing
irctc.service--support.xyz,Phishing
bob.portal--update.co,Phishing
uidai.portal-update.info,Phishing
irctc.check--update.net,Phishing
hdfc.secure--support.top,Phishing
icici.portal--online.org,Phishing
nic.service--secure.net,Phishing
bob.check-update.xyz,Phishing
sbi.secure--secure.co,Phishing
sbi.check-update.net,Phishing
sbi.check--login.xyz,Phishing
uidai.secure--banking.net,Phishing
iocl.check--online.xyz,Phishing
sbi.check--online.in,Phishing
hdfc.check--login.info,Phishing
nic.service-update.org,Phishing
nic.service--help.info,Phishing
airtel.secure--support.info,Phishing
iocl.service-secure.net,Phishing
icici.check-login.co,Phishing
uidai.service--support.co,Phishing
uidai.secure--online.co,Phishing
bob.portal--verify.org,Phishing
iocl.secure--banking.top,Phishing
iocl.secure--help.xyz,Phishing
icici.check-secure.xyz,Phishing
bob.portal-login.xyz,Phishing
bob.check-login.top,Phishing
bob.secure--login.top,Phishing
pnb.service--login.net,Phishing
airtel.service--secure.org,Phishing
icici.service-secure.in,Phishing
bob.portal--secure.top,Phishing
pnb.check-update.info,Phishing
airtel.secure--secure.net,Phishing
uidai.service-secure.info,Phishing
uidai.portal--banking.co,Phishing
pnb.secure--online.co,Phishing
sbi.secure--support.org,Phishing
airtel.secure--update.net,Phishing
nic.service--banking.xyz,Phishing
pnb.check-secure.xyz,Phishing
