domain,label,source
airtel-merchants.in,Phishing,training_set
airtelrecharge.co.in,Phishing,training_set
airtelmerchant.in,Phishing,training_set
airtelinternetserviceprovider.co.in,Phishing,training_set
airtelpoint.top,Phishing,training_set
airtela.sbs,Phishing,training_set
airtelairfiberkarnataka.xyz,Phishing,training_set
airtelbroadbandbangalore.xyz,Phishing,training_set
airteldthconnectionbengaluru.xyz,Phishing,training_set
airtelwificonnectiontumakuru.xyz,Phishing,training_set
airtel365.com,Suspected,training_set
airtel-merchants.site,Suspected,training_set
airtelmerchnat.in,Suspected,training_set
airtel.club,Suspected,training_set
airtel121co.in,Suspected,training_set
airtelfin.in,Suspected,training_set
airtelmerchants.in,Suspected,training_set
airtelwifi.in,Suspected,training_set
airtel-5g.top,Suspected,training_set
airtele.xyz,Suspected,training_set
airtelericsson.in,Suspected,training_set
airtelrechargeplan.com,Suspected,training_set
airtelspacex.in,Suspected,training_set
airtel.cloud,Suspected,training_set
airtelrdc.shop,Suspected,training_set
airtelhd.biz,Suspected,training_set
airtelmerchnats.net,Suspected,training_set
airteldataloan.in,Suspected,training_set
airtel-merchants.shop,Suspected,training_set
airtelpay.world,Phishing,training_set
airtel-quickrecharge.world,Phishing,training_set
airtelstream.in,Suspected,training_set
bhartiairtelnet.in,Suspected,training_set
airtel121.in,Suspected,training_set
airtel-merchant.co.in,Suspected,training_set
airtel-5g.net,Suspected,training_set
airtel-ug.info,Suspected,training_set
airteliqalerts.in,Suspected,training_set
airteliqmail.in,Suspected,training_set
airtelinfotel.in,Suspected,training_set
airtelretailer.in,Suspected,training_set
airtel.org.in,Suspected,training_set
bhartiairtel.live,Suspected,training_set
bhartiairtel.online,Suspected,training_set
airtelconnect.com,Suspected,training_set
airtelstore.co.in,Suspected,training_set
airteldtd.in,Suspected,training_set
airtel.website,Suspected,training_set
airtelprize.in,Suspected,training_set
airtelapp.xyz,Suspected,training_set
airtelcare.net,Suspected,training_set
airtel-merchants.net,Suspected,training_set
postpaidairtel.in,Suspected,training_set
airtel.exchange,Suspected,training_set
airtelpayment.online,Suspected,training_set
airtel-5gg.top,Suspected,training_set
airtelmerchnat.co.in,Suspected,training_set
airtel-ericsson.com,Suspected,training_set
airtel-broadband-plans.today,Suspected,training_set
airtel-broadband-plans-near-you.sbs,Suspected,training_set
airtelstarlink.org,Suspected,training_set
airtelstarlinks.in,Suspected,training_set
airtellink.com,Suspected,training_set
airtel.firm.in,Suspected,training_set
airtelfiber.in,Suspected,training_set
airtelxtream.co.in,Suspected,training_set
bhartairtel.co.in,Suspected,training_set
airtelairfiber.in,Suspected,training_set
airtelxtreamonline.in,Suspected,training_set
bhartiairtelfoundation.co.in,Suspected,training_set
airtelvb.top,Suspected,training_set
airtelonebroadband.top,Suspected,training_set
airtel-merchants.services,Suspected,training_set
bankofbarodabank.in,Suspected,training_set
bankofbarodafin.in,Suspected,training_set
bankofbarodaworld.co.in,Suspected,training_set
1bankofbaroda.co.in,Suspected,training_set
thebankofbaroda.in,Suspected,training_set
bankofbarodaa.co.in,Suspected,training_set
bankofbaroda0.co.in,Suspected,training_set
bankofbarodarewa.co.in,Suspected,training_set
dc-crsorgi-gov.site,Phishing,training_set
crsverifycertificate.in,Phishing,training_set
dc.crsorge.in,Phishing,training_set
dc.crsorgi.gov.in.crs.vievvcert.info,Phishing,training_set
crsor-go.shop,Phishing,training_set
crsorgi-gov.xyz,Phishing,training_set
janma-mrityutathya.shop,Phishing,training_set
csrorgi-gov.shop,Phishing,training_set
www.dc.crsorgi.gov.in.verifycertificate.shop,Phishing,training_set
www.dc.crsorgi.gov.in.web.index.php.apnaqafila.shop,Phishing,training_set
www.acadmey.mange.project.indaxs.in,Phishing,training_set
birth.giantechnical.in,Phishing,training_set
verificagovv.xyz,Phishing,training_set
www.service.findapi.info,Phishing,training_set
error404.remgoerrocount.xyz,Phishing,training_set
dc.crsorgi.gov.in.verifyc.xyz,Phishing,training_set
onlineservice.shop,Phishing,training_set
dc.crsorgi.govi.ltd,Phishing,training_set
my.babaprint1.xyz,Phishing,training_set
dc.crsorgi.gov.in.webi.ltd,Phishing,training_set
dc.crsorgi.gov.in.index-view.shop,Phishing,training_set
dc.crsorgi.gov.in.tech-site.info,Phishing,training_set
dc.pgoneindia.shop,Phishing,training_set
crsorgi.gov.in.verifycertificate.shop,Phishing,training_set
dc.crsorgi.gov.in.adverify.in,Phishing,training_set
dcrsorgi.store,Phishing,training_set
dc.birth.dccrsorgi-govv.live,Phishing,training_set
dc.crsorgi.gov.in.viewcard.in,Phishing,training_set
verifycertificate.cloud,Phishing,training_set
crsorginewindex.store,Suspected,training_set
adharprint.dccrsorgi-govv.live,Suspected,training_set
crsorgi.gov.in.viewcard.in,Suspected,training_set
crsorgi.gov.in.w.viewcard.in,Suspected,training_set
crsorgi.gov.in.web.index.php.viewcard.in,Suspected,training_set
dc.crsorgi.gov.in.crovimng.online,Suspected,training_set
passportt.dccrsorgi-govv.live,Suspected,training_set
rtps.dccrsorgi-govv.live,Suspected,training_set
ucl.dccrsorgi-govv.live,Suspected,training_set
crsgov.click,Suspected,training_set
crsorgigob.xyz,Suspected,training_set
crsorgigovbirth.info,Suspected,training_set
dccrsorgigov-in.in,Suspected,training_set
crsgovbirth.xyz,Suspected,training_set
crsorgiportal.com,Suspected,training_set
dc.crs-orgi.com,Suspected,training_set
dc.crsorgi.gov.logln.in,Suspected,training_set
www.birth.ypuclportala.xyz,Suspected,training_set
www.dc.crsorgi.gov.in.index.viewscrit.org,Suspected,training_set
yashcrsportal.site,Suspected,training_set
crsorg.xyz,Suspected,training_set
dc-crs-org-gov.xyz,Suspected,training_set
dc-crsorgi-gov.shop,Suspected,training_set
dc-crsorgive-gov.xyz,Suspected,training_set
dccrsorgi.shop,Suspected,training_set
crsorgi-gov-in.store,Suspected,training_set
dc-crsorgi-gov.xyz,Suspected,training_set
dc-crsorgi.co.in,Suspected,training_set
dccrsorgigovinverficrs.in,Suspected,training_set
dc.crsorgi-gov.xyz,Suspected,training_set
www.dc.crsorgi.gov.in.verifyinfo.xyz,Suspected,training_set
www.dc.crsorgi.gov.in.web.dc-crsorgi.shop,Suspected,training_set
dccrsorgi-govv.live,Suspected,training_set
crs.verifycertificatecrs.live,Suspected,training_set
dcinfinityorg.site,Suspected,training_set
crsorg-dccertificate.sbs,Suspected,training_set
crsorgi-gout.in,Suspected,training_set
dccrsorgionline.in,Suspected,training_set
dccrsorgigovin.website,Suspected,training_set
crsorgi-birh.in,Suspected,training_set
dc-verifycertificate.org.in,Suspected,training_set
dc.crsorgi-gov.live,Suspected,training_set
dc.crsorgi.gov.in.verifycertificate.fun,Suspected,training_set
dc.crsorgi.gov.in.crs.verifycertificate.org,Suspected,training_set
dc.crsorgi.gov.in.techdc.shop,Suspected,training_set
