domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,consonant_ratio,vowel_ratio,longest_consonant_run,is_punycode,subdomain_depth,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https
airtel-merchants.in,Phishing,training_set,19.0,0.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,99.0,0.0,0.0,0.0,0.5789473684210527,0.3157894736842105,3.0,0.0,0.0,0.0,2.0,3.6163485660751635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrecharge.co.in,Phishing,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5,0.4,2.0,0.0,1.0,0.0,2.0,3.446439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchant.in,Phishing,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.5882352941176471,0.35294117647058826,3.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelinternetserviceprovider.co.in,Phishing,training_set,35.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5428571428571428,0.4,2.0,0.0,1.0,0.0,2.0,3.5224592753013226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpoint.top,Phishing,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.5333333333333333,0.4,2.0,0.0,0.0,0.0,3.0,3.189898095464288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtela.sbs,Phishing,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.16666666666666666,0.0,0.0,0.0,0.5454545454545454,0.36363636363636365,3.0,0.0,0.0,0.0,3.0,3.095795255000934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelairfiberkarnataka.xyz,Phishing,training_set,27.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.5555555555555556,0.4074074074074074,3.0,0.0,0.0,0.0,3.0,3.48582592784901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelbroadbandbangalore.xyz,Phishing,training_set,28.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,0.6071428571428571,0.35714285714285715,3.0,0.0,0.0,0.0,3.0,3.695947226387471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldthconnectionbengaluru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.625,0.34375,5.0,0.0,0.0,0.0,3.0,4.015319531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelwificonnectiontumakuru.xyz,Phishing,training_set,32.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,1.0,0.1875,1.0,0.0,0.0,0.0,0.5625,0.40625,3.0,0.0,0.0,0.0,3.0,3.9917292966721747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
